          T Values         Y Values
      0.000000e+00      2.000000e+00
      5.000000e-02      2.050000e+00
      1.000000e-01      2.102500e+00
      1.500000e-01      2.157500e+00
      2.000000e-01      2.215000e+00
      2.500000e-01      2.275000e+00
      3.000000e-01      2.337500e+00
      3.500000e-01      2.402500e+00
      4.000000e-01      2.470000e+00
      4.500000e-01      2.540000e+00
      5.000000e-01      2.612500e+00
      5.500000e-01      2.687500e+00
      6.000000e-01      2.765000e+00
      6.500000e-01      2.845000e+00
      7.000000e-01      2.927500e+00
      7.500000e-01      3.012500e+00
      8.000000e-01      3.100000e+00
      8.500000e-01      3.190000e+00
      9.000000e-01      3.282500e+00
      9.500000e-01      3.377500e+00
      1.000000e+00      3.475000e+00
