          T Values         Y Values
      0.000000e+00      2.000000e+00
      1.000000e-02      2.010100e+00
      2.000000e-02      2.020300e+00
      3.000000e-02      2.030600e+00
      4.000000e-02      2.041000e+00
      5.000000e-02      2.051500e+00
      6.000000e-02      2.062100e+00
      7.000000e-02      2.072800e+00
      8.000000e-02      2.083600e+00
      9.000000e-02      2.094500e+00
      1.000000e-01      2.105500e+00
      1.100000e-01      2.116600e+00
      1.200000e-01      2.127800e+00
      1.300000e-01      2.139100e+00
      1.400000e-01      2.150500e+00
      1.500000e-01      2.162000e+00
      1.600000e-01      2.173600e+00
      1.700000e-01      2.185300e+00
      1.800000e-01      2.197100e+00
      1.900000e-01      2.209000e+00
      2.000000e-01      2.221000e+00
      2.100000e-01      2.233100e+00
      2.200000e-01      2.245300e+00
      2.300000e-01      2.257600e+00
      2.400000e-01      2.270000e+00
      2.500000e-01      2.282500e+00
      2.600000e-01      2.295100e+00
      2.700000e-01      2.307800e+00
      2.800000e-01      2.320600e+00
      2.900000e-01      2.333500e+00
      3.000000e-01      2.346500e+00
      3.100000e-01      2.359600e+00
      3.200000e-01      2.372800e+00
      3.300000e-01      2.386100e+00
      3.400000e-01      2.399500e+00
      3.500000e-01      2.413000e+00
      3.600000e-01      2.426600e+00
      3.700000e-01      2.440300e+00
      3.800000e-01      2.454100e+00
      3.900000e-01      2.468000e+00
      4.000000e-01      2.482000e+00
      4.100000e-01      2.496100e+00
      4.200000e-01      2.510300e+00
      4.300000e-01      2.524600e+00
      4.400000e-01      2.539000e+00
      4.500000e-01      2.553500e+00
      4.600000e-01      2.568100e+00
      4.700000e-01      2.582800e+00
      4.800000e-01      2.597600e+00
      4.900000e-01      2.612500e+00
      5.000000e-01      2.627500e+00
      5.100000e-01      2.642600e+00
      5.200000e-01      2.657800e+00
      5.300000e-01      2.673100e+00
      5.400000e-01      2.688500e+00
      5.500000e-01      2.704000e+00
      5.600000e-01      2.719600e+00
      5.700000e-01      2.735300e+00
      5.800000e-01      2.751100e+00
      5.900000e-01      2.767000e+00
      6.000000e-01      2.783000e+00
      6.100000e-01      2.799100e+00
      6.200000e-01      2.815300e+00
      6.300000e-01      2.831600e+00
      6.400000e-01      2.848000e+00
      6.500000e-01      2.864500e+00
      6.600000e-01      2.881100e+00
      6.700000e-01      2.897800e+00
      6.800000e-01      2.914600e+00
      6.900000e-01      2.931500e+00
      7.000000e-01      2.948500e+00
      7.100000e-01      2.965600e+00
      7.200000e-01      2.982800e+00
      7.300000e-01      3.000100e+00
      7.400000e-01      3.017500e+00
      7.500000e-01      3.035000e+00
      7.600000e-01      3.052600e+00
      7.700000e-01      3.070300e+00
      7.800000e-01      3.088100e+00
      7.900000e-01      3.106000e+00
      8.000000e-01      3.124000e+00
      8.100000e-01      3.142100e+00
      8.200000e-01      3.160300e+00
      8.300000e-01      3.178600e+00
      8.400000e-01      3.197000e+00
      8.500000e-01      3.215500e+00
      8.600000e-01      3.234100e+00
      8.700000e-01      3.252800e+00
      8.800000e-01      3.271600e+00
      8.900000e-01      3.290500e+00
      9.000000e-01      3.309500e+00
      9.100000e-01      3.328600e+00
      9.200000e-01      3.347800e+00
      9.300000e-01      3.367100e+00
      9.400000e-01      3.386500e+00
      9.500000e-01      3.406000e+00
      9.600000e-01      3.425600e+00
      9.700000e-01      3.445300e+00
      9.800000e-01      3.465100e+00
      9.900000e-01      3.485000e+00
      1.000000e+00      3.505000e+00
