          T Values         Y Values
      0.000000e+00      2.000000e+00
      5.000000e-02      2.051250e+00
      1.000000e-01      2.105000e+00
      1.500000e-01      2.161250e+00
      2.000000e-01      2.220000e+00
      2.500000e-01      2.281250e+00
      3.000000e-01      2.345000e+00
      3.500000e-01      2.411250e+00
      4.000000e-01      2.480000e+00
      4.500000e-01      2.551250e+00
      5.000000e-01      2.625000e+00
      5.500000e-01      2.701250e+00
      6.000000e-01      2.780000e+00
      6.500000e-01      2.861250e+00
      7.000000e-01      2.945000e+00
      7.500000e-01      3.031250e+00
      8.000000e-01      3.120000e+00
      8.500000e-01      3.211250e+00
      9.000000e-01      3.305000e+00
      9.500000e-01      3.401250e+00
      1.000000e+00      3.500000e+00
